,id_left,date,latitude,longitude,Dates,Time,time_bins,coordinates,index_right,addr:city,addr:country,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,operator,phone,ref,website,building,amenity,building:flats,building:levels,building:material,building:min_level,building:use,height,landuse,office,shop,source,start_date,wikipedia,id_right,timestamp,version,tags,osm_type,internet_access,changeset
0,1,01-08-21 06:52,103.71023609999999,1.387150625,2021-01-08,06:52:00,Morning,POINT (103.71023609999999 1.387150625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,04-10-20 16:48,103.93579820000001,1.237516868,2020-04-10,16:48:00,Morning,POINT (103.93579820000001 1.237516868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,26-11-20 18:02,103.7589263,1.267913754,2020-11-26,18:02:00,Evening,POINT (103.7589263 1.267913754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,20-04-22 11:33,103.7131744,1.3668260069999998,2022-04-20,11:33:00,Morning,POINT (103.7131744 1.3668260069999998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,22-03-21 02:14,103.7249494,1.38205314,2021-03-22,02:14:00,Evening,POINT (103.7249494 1.38205314),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,11-10-21 06:54,103.7764544,1.313753296,2021-11-10,06:54:00,Morning,POINT (103.7764544 1.313753296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,11-12-21 10:56,103.85367190000001,1.333205685,2021-11-12,10:56:00,Morning,POINT (103.85367190000001 1.333205685),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,24-11-20 01:46,103.8775772,1.2655866279999999,2020-11-24,01:46:00,Evening,POINT (103.8775772 1.2655866279999999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,18-03-22 19:44,103.8631082,1.31213996,2022-03-18,19:44:00,Evening,POINT (103.8631082 1.31213996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,05-07-21 02:21,103.9587212,1.36287858,2021-05-07,02:21:00,Evening,POINT (103.9587212 1.36287858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,11-09-21 23:51,103.7949559,1.294847445,2021-11-09,23:51:00,Evening,POINT (103.7949559 1.294847445),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,19-12-21 16:59,103.7739432,1.3209323590000002,2021-12-19,16:59:00,Morning,POINT (103.7739432 1.3209323590000002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,03-12-21 18:41,103.80213309999999,1.360778636,2021-03-12,18:41:00,Evening,POINT (103.80213309999999 1.360778636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,27-10-20 23:27,103.8659044,1.361122748,2020-10-27,23:27:00,Evening,POINT (103.8659044 1.361122748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
